subnum,stimtype,block,trialtype,trial,condition,stim,dim1,dim2,time0,resp1,rt1,corr1,resp2,rt2,corr2,tooslow
201-2-4,4,1,PRACTICE,-25,1,4,0,0,8902,2,409,1,NA,0,0,0
201-2-4,4,1,PRACTICE,-24,1,2,0,1,10167,2,394,1,NA,0,0,0
201-2-4,4,1,PRACTICE,-23,1,3,1,0,11709,1,322,1,NA,0,0,0
201-2-4,4,1,PRACTICE,-22,1,1,1,1,12904,1,394,1,NA,0,0,0
201-2-4,4,1,PRACTICE,-21,1,4,0,0,14276,2,340,1,NA,0,0,0
201-2-4,4,1,PRACTICE,-20,1,1,1,1,15916,1,326,1,NA,0,0,0
201-2-4,4,1,PRACTICE,-19,1,3,1,0,17537,1,380,1,NA,0,0,0
201-2-4,4,1,PRACTICE,-18,1,2,0,1,18979,2,380,1,NA,0,0,0
201-2-4,4,1,TEST,1,1,4,0,0,20602,2,391,1,NA,0,0,0
201-2-4,4,1,TEST,2,1,2,0,1,22289,2,350,1,NA,0,0,0
201-2-4,4,1,TEST,3,1,3,1,0,23617,1,504,1,NA,0,0,0
201-2-4,4,1,TEST,4,1,1,1,1,25013,1,408,1,NA,0,0,0
201-2-4,4,1,TEST,5,1,4,0,0,26475,2,400,1,NA,0,0,0
201-2-4,4,1,TEST,6,1,1,1,1,28059,1,356,1,NA,0,0,0
201-2-4,4,1,TEST,7,1,2,0,1,29616,2,375,1,NA,0,0,0
201-2-4,4,1,TEST,8,1,3,1,0,30910,1,360,1,NA,0,0,0
201-2-4,4,1,TEST,9,1,2,0,1,32565,2,320,1,NA,0,0,0
201-2-4,4,1,TEST,10,1,1,1,1,33744,1,361,1,NA,0,0,0
201-2-4,4,1,TEST,11,1,4,0,0,35076,2,371,1,NA,0,0,0
201-2-4,4,1,TEST,12,1,3,1,0,36308,1,325,1,NA,0,0,0
201-2-4,4,1,TEST,13,1,2,0,1,37903,2,299,1,NA,0,0,0
201-2-4,4,1,TEST,14,1,1,1,1,39467,1,254,1,NA,0,0,0
201-2-4,4,1,TEST,15,1,4,0,0,40731,2,278,1,NA,0,0,0
201-2-4,4,1,TEST,16,1,3,1,0,42119,1,282,1,NA,0,0,0
201-2-4,4,1,TEST,17,1,2,0,1,43337,2,280,1,NA,0,0,0
201-2-4,4,1,TEST,18,1,4,0,0,44502,1,280,0,NA,0,0,0
201-2-4,4,1,TEST,19,1,1,1,1,46459,1,364,1,NA,0,0,0
201-2-4,4,1,TEST,20,1,3,1,0,47785,1,480,1,NA,0,0,0
201-2-4,4,1,TEST,21,1,2,0,1,49340,2,384,1,NA,0,0,0
201-2-4,4,1,TEST,22,1,3,1,0,50880,1,346,1,NA,0,0,0
201-2-4,4,1,TEST,23,1,4,0,0,52202,2,318,1,NA,0,0,0
201-2-4,4,1,TEST,24,1,1,1,1,53678,1,298,1,NA,0,0,0
201-2-4,4,1,TEST,25,1,2,0,1,54898,2,297,1,NA,0,0,0
201-2-4,4,2,PRACTICE,-25,2,3,1,0,60494,NA,0,0,0,640,1,0
201-2-4,4,2,PRACTICE,-24,2,4,0,0,62444,NA,0,0,0,391,1,0
201-2-4,4,2,PRACTICE,-23,2,2,0,1,63884,NA,0,0,9,550,1,0
201-2-4,4,2,PRACTICE,-22,2,1,1,1,65318,NA,0,0,9,400,1,0
201-2-4,4,2,PRACTICE,-21,2,1,1,1,66948,NA,0,0,9,357,1,0
201-2-4,4,2,PRACTICE,-20,2,3,1,0,68199,NA,0,0,0,608,1,0
