"subnum" "stimtype" "block" "trialtype" "trial" "condition" "stim" "dim1" "dim2" "time0" "resp1" "rt1" "corr1" "resp2" "rt2" "corr2" "tooslow"
"100-1-1" 4 1 "PRACTICE" -25 1 2 0 1 81656 2 998 1 NA 0 0 0
"100-1-1" 4 1 "PRACTICE" -24 1 4 0 0 83829 2 543 1 NA 0 0 0
"100-1-1" 4 1 "PRACTICE" -23 1 3 1 0 85582 1 530 1 NA 0 0 0
"100-1-1" 4 1 "PRACTICE" -22 1 1 1 1 86996 1 532 1 NA 0 0 0
"100-1-1" 4 1 "PRACTICE" -21 1 3 1 0 88609 1 484 1 NA 0 0 0
"100-1-1" 4 1 "PRACTICE" -20 1 1 1 1 89967 1 464 1 NA 0 0 0
"100-1-1" 4 1 "PRACTICE" -19 1 2 0 1 91505 2 528 1 NA 0 0 0
"100-1-1" 4 1 "PRACTICE" -18 1 4 0 0 93323 2 423 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 1 1 3 1 0 94882 1 506 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 2 1 4 0 0 96373 2 446 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 3 1 1 1 1 97851 1 377 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 4 1 2 0 1 99508 2 430 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 5 1 4 0 0 101058 2 423 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 6 1 1 1 1 102709 1 381 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 7 1 3 1 0 104219 1 441 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 8 1 2 0 1 105794 2 394 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 9 1 3 1 0 107235 1 372 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 10 1 2 0 1 108717 2 344 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 11 1 1 1 1 110081 1 322 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 12 1 4 0 0 111720 2 438 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 13 1 3 1 0 113256 1 422 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 14 1 4 0 0 114913 2 397 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 15 1 1 1 1 116448 1 416 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 16 1 2 0 1 117811 2 537 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 17 1 1 1 1 119205 1 379 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 18 1 4 0 0 120776 2 398 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 19 1 3 1 0 122138 1 364 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 20 1 2 0 1 123589 2 345 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 21 1 3 1 0 124797 1 437 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 22 1 4 0 0 126180 2 384 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 23 1 1 1 1 127720 1 352 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 24 1 2 0 1 128996 2 498 1 NA 0 0 0
"100-1-1" 4 1 "TEST" 25 1 1 1 1 130369 1 382 1 NA 0 0 0
"100-1-1" 4 2 "PRACTICE" -25 2 4 0 0 155652 NA 0 0 0 489 1 0
"100-1-1" 4 2 "PRACTICE" -24 2 1 1 1 157330 NA 0 0 9 540 1 0
"100-1-1" 4 2 "PRACTICE" -23 2 3 1 0 158877 NA 0 0 0 340 1 0
"100-1-1" 4 2 "PRACTICE" -22 2 2 0 1 160273 NA 0 0 0 386 0 0
"100-1-1" 4 2 "PRACTICE" -21 2 4 0 0 162323 NA 0 0 0 418 1 0
"100-1-1" 4 2 "PRACTICE" -20 2 3 1 0 163708 NA 0 0 0 457 1 0
"100-1-1" 4 2 "PRACTICE" -19 2 1 1 1 165412 NA 0 0 9 462 1 0
"100-1-1" 4 2 "PRACTICE" -18 2 2 0 1 167189 NA 0 0 9 502 1 0
"100-1-1" 4 2 "TEST" 1 2 4 0 0 168883 NA 0 0 0 389 1 0
"100-1-1" 4 2 "TEST" 2 2 2 0 1 170396 NA 0 0 9 482 1 0
"100-1-1" 4 2 "TEST" 3 2 1 1 1 171893 NA 0 0 9 442 1 0
"100-1-1" 4 2 "TEST" 4 2 3 1 0 173354 NA 0 0 0 362 1 0
"100-1-1" 4 2 "TEST" 5 2 4 0 0 174715 NA 0 0 0 352 1 0
"100-1-1" 4 2 "TEST" 6 2 1 1 1 176304 NA 0 0 9 464 1 0
"100-1-1" 4 2 "TEST" 7 2 2 0 1 178040 NA 0 0 9 866 1 0
"100-1-1" 4 2 "TEST" 8 2 3 1 0 179761 NA 0 0 0 463 1 0
"100-1-1" 4 2 "TEST" 9 2 4 0 0 181185 NA 0 0 0 442 1 0
"100-1-1" 4 2 "TEST" 10 2 3 1 0 182641 NA 0 0 0 432 1 0
"100-1-1" 4 2 "TEST" 11 2 2 0 1 184203 NA 0 0 9 448 1 0
"100-1-1" 4 2 "TEST" 12 2 1 1 1 185687 NA 0 0 9 561 1 0
"100-1-1" 4 2 "TEST" 13 2 3 1 0 187372 NA 0 0 0 464 1 0
"100-1-1" 4 2 "TEST" 14 2 2 0 1 188983 NA 0 0 9 476 1 0
"100-1-1" 4 2 "TEST" 15 2 4 0 0 190326 NA 0 0 0 498 1 0
"100-1-1" 4 2 "TEST" 16 2 1 1 1 191826 NA 0 0 9 456 1 0
"100-1-1" 4 2 "TEST" 17 2 4 0 0 193266 NA 0 0 0 481 1 0
"100-1-1" 4 2 "TEST" 18 2 3 1 0 194980 NA 0 0 0 516 1 0
"100-1-1" 4 2 "TEST" 19 2 2 0 1 196615 NA 0 0 9 481 1 0
"100-1-1" 4 2 "TEST" 20 2 1 1 1 198316 NA 0 0 9 476 1 0
"100-1-1" 4 2 "TEST" 21 2 4 0 0 199690 NA 0 0 0 517 1 0
"100-1-1" 4 2 "TEST" 22 2 1 1 1 201097 NA 0 0 9 521 1 0
