subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
110-4-1,P,0,1,D,2,5567,2250,7823,8329,8330,629,<down>,<down>,1,1
110-4-1,P,0,-1,D,2,8976,2000,10982,11491,11491,636,<down>,<down>,1,1
110-4-1,P,0,-1,D,1,12153,1500,13659,14165,14166,556,<down>,<down>,1,1
110-4-1,P,0,-1,U,1,14749,2000,16755,17261,17261,585,<up>,<up>,1,1
110-4-1,P,0,1,R,2,17860,3000,20866,21373,21374,611,<right>,<right>,1,1
110-4-1,P,0,1,D,1,21997,3250,25253,25760,25760,638,<down>,<down>,1,1
110-4-1,P,0,-1,L,2,26425,3250,29681,30187,30187,559,<left>,<left>,1,1
110-4-1,P,0,1,D,1,30765,1750,32521,33027,33027,550,<down>,<down>,1,1
110-4-1,P,0,-1,D,2,35920,2500,38425,38632,38632,573,<down>,<down>,1,1
110-4-1,P,0,1,L,2,39223,2750,41979,42185,42186,771,<left>,<left>,1,1
110-4-1,P,0,1,D,1,42970,3250,46224,46427,46427,617,<down>,<down>,1,1
110-4-1,P,0,-1,D,2,47053,3500,50559,50766,50766,657,<down>,<down>,1,1
110-4-1,P,0,-1,U,2,51442,2750,54199,54407,54408,676,<up>,<up>,1,1
110-4-1,P,0,1,U,1,55104,1500,56610,56818,56818,567,<up>,<up>,1,1
110-4-1,P,0,-1,D,1,57403,3000,60408,60614,60614,597,<down>,<down>,1,1
110-4-1,P,0,-1,L,2,61232,2750,63987,64193,64194,1023,<left>,<left>,1,1
110-4-1,T,1,-1,L,1,68115,2000,70121,70327,70328,623,<left>,<left>,1,1
110-4-1,T,2,-1,U,1,70964,3500,74470,74677,74677,611,<up>,<up>,1,1
110-4-1,T,3,-1,R,1,75300,3000,78306,78515,78515,583,<right>,<right>,1,1
110-4-1,T,4,1,L,1,79112,3000,82117,82323,82323,629,<left>,<left>,1,1
110-4-1,T,5,-1,D,1,82963,1750,84719,84925,84926,665,<down>,<down>,1,1
110-4-1,T,6,1,D,2,85605,2000,87612,87818,87819,680,<down>,<down>,1,1
110-4-1,T,7,1,R,2,88517,3000,91522,91728,91729,711,<right>,<right>,1,1
110-4-1,T,8,1,U,1,92460,3500,95966,96172,96172,598,<up>,<up>,1,1
110-4-1,T,9,-1,U,1,96782,3500,100288,100495,100496,526,<up>,<up>,1,1
110-4-1,T,10,1,D,1,101038,3000,104043,104249,104249,580,<down>,<down>,1,1
110-4-1,T,11,-1,D,2,104847,2500,107353,107559,107560,653,<down>,<down>,1,1
110-4-1,T,12,-1,L,1,108230,3250,111485,111691,111692,630,<left>,<left>,1,1
110-4-1,T,13,1,L,2,112340,2000,114346,114552,114553,724,<left>,<left>,1,1
110-4-1,T,14,1,D,1,115291,1750,117047,117253,117254,621,<down>,<down>,1,1
110-4-1,T,15,-1,L,1,117891,2500,120397,120603,120603,579,<left>,<left>,1,1
110-4-1,T,16,-1,D,1,121199,3000,124205,124411,124412,603,<down>,<down>,1,1
110-4-1,T,17,-1,U,1,125030,2750,127785,127992,127992,540,<up>,<up>,1,1
110-4-1,T,18,-1,L,2,128554,3250,131809,132015,132016,1021,<left>,<left>,1,1
110-4-1,T,19,1,L,2,133051,3250,136306,136513,136513,656,<left>,<left>,1,1
110-4-1,T,20,-1,U,2,137186,3500,140692,140898,140898,686,<up>,<up>,1,1
110-4-1,T,21,1,L,1,141596,2750,144351,144557,144558,801,<left>,<left>,1,1
110-4-1,T,22,1,D,2,145372,3500,148877,149083,149084,731,<down>,<down>,1,1
110-4-1,T,23,-1,D,1,149835,3500,153341,153547,153547,617,<down>,<down>,1,1
110-4-1,T,24,1,D,1,154182,2500,156688,156894,156894,576,<down>,<down>,1,1
110-4-1,T,25,-1,U,2,157485,1750,159240,159447,159447,710,<up>,<up>,1,1
110-4-1,T,26,1,D,2,160172,3250,163427,163633,163634,678,<down>,<down>,1,1
110-4-1,T,27,-1,R,1,164329,3000,167335,167541,167542,663,<right>,<right>,1,1
110-4-1,T,28,-1,U,1,168216,2750,170972,171178,171178,650,<up>,<up>,1,1
110-4-1,T,29,-1,D,2,171843,2500,174349,174555,174556,720,<down>,<down>,1,1
110-4-1,T,30,1,R,2,175288,2750,178043,178249,178250,750,<right>,<right>,1,1
110-4-1,T,31,1,L,2,179015,1750,180770,180976,180977,840,<left>,<left>,1,1
110-4-1,T,32,-1,L,1,181835,3500,185340,185547,185547,648,<left>,<left>,1,1
110-4-1,T,33,-1,U,1,186208,3500,189714,189920,189920,637,<up>,<up>,1,1
110-4-1,T,34,-1,D,2,190573,1750,192328,192534,192535,720,<down>,<down>,1,1
110-4-1,T,35,1,U,2,193269,2000,195275,195481,195482,701,<up>,<up>,1,1
110-4-1,T,36,-1,R,1,196199,3000,199206,199412,199412,684,<right>,<right>,1,1
110-4-1,T,37,-1,D,2,200110,2000,202115,202323,202324,765,<down>,<down>,1,1
110-4-1,T,38,1,U,1,203103,3250,206360,206568,206568,604,<up>,<up>,1,1
110-4-1,T,39,-1,U,1,207191,1750,208947,209153,209154,565,<up>,<up>,1,1
110-4-1,T,40,-1,D,1,209733,3000,212738,212944,212944,620,<down>,<down>,1,1
110-4-1,T,41,1,U,2,213576,3250,216831,217039,217040,679,<up>,<up>,1,1
110-4-1,T,42,1,R,2,217736,3000,220741,220947,220948,1353,<right>,<right>,1,1
