subnum,block,trial,direction,stim,offset,fixationstart,delaytime,promptstart,arrowstart,maskstart,rt,corresp,resp,corr,bivalentcorr
100-4-3,P,0,1,R,2,2987,2750,5744,6251,6251,753,<right>,<right>,1,1
100-4-3,P,0,1,R,1,7021,3000,10027,10533,10533,456,<right>,<right>,1,1
100-4-3,P,0,1,U,2,11013,1500,12519,13025,13026,478,<up>,<up>,1,1
100-4-3,P,0,-1,L,1,13528,2250,15785,16292,16293,460,<left>,<left>,1,1
100-4-3,P,0,1,U,2,16777,3500,20282,20789,20789,485,<up>,<up>,1,1
100-4-3,P,0,-1,U,1,21301,3000,24307,24814,24814,493,<up>,<up>,1,1
100-4-3,P,0,-1,U,2,25332,2500,27837,28343,28343,632,<up>,<up>,1,1
100-4-3,P,0,1,R,1,28994,2250,31249,31757,31757,477,<right>,<right>,1,1
100-4-3,P,0,-1,L,2,34995,3250,38250,38457,38457,649,<left>,<left>,1,1
100-4-3,P,0,-1,D,1,39121,3250,42376,42582,42583,684,<down>,<down>,1,1
100-4-3,P,0,1,D,2,43282,3500,46787,46993,46994,733,<down>,<down>,1,1
100-4-3,P,0,1,R,1,47742,2250,49997,50203,50204,570,<right>,<right>,1,1
100-4-3,P,0,-1,R,2,50790,3500,54294,54501,54501,535,<right>,<right>,1,1
100-4-3,P,0,1,R,2,55060,1500,56565,56772,56772,573,<right>,<right>,1,1
100-4-3,P,0,1,R,2,57365,1750,59121,59327,59327,485,<right>,<right>,1,1
100-4-3,P,0,-1,U,2,59827,2000,61832,62039,62039,597,<up>,<up>,1,1
100-4-3,T,1,-1,L,1,65685,2250,67939,68146,68146,591,<left>,<left>,1,1
100-4-3,T,2,-1,L,1,68750,3250,72005,72211,72212,548,<left>,<left>,1,1
100-4-3,T,3,1,L,1,72774,1500,74279,74486,74486,496,<left>,<left>,1,1
100-4-3,T,4,-1,U,1,75010,1500,76515,76722,76722,541,<up>,<up>,1,1
100-4-3,T,5,-1,R,1,77284,2750,80040,80246,80247,563,<right>,<right>,1,1
100-4-3,T,6,1,L,2,80821,2250,83077,83283,83283,531,<left>,<left>,1,1
100-4-3,T,7,-1,R,1,83832,2750,86588,86794,86795,567,<right>,<right>,1,1
100-4-3,T,8,-1,U,2,87376,1500,88882,89088,89088,509,<up>,<up>,1,1
100-4-3,T,9,1,U,2,89619,2000,91625,91832,91832,508,<up>,<up>,1,1
100-4-3,T,10,1,R,2,92353,3500,95859,96066,96066,547,<right>,<right>,1,1
100-4-3,T,11,1,U,1,96630,2250,98885,99091,99092,486,<up>,<up>,1,1
100-4-3,T,12,1,U,2,99595,1750,101350,101557,101558,469,<up>,<up>,1,1
100-4-3,T,13,-1,U,2,102045,1750,103800,104006,104007,504,<up>,<up>,1,1
100-4-3,T,14,-1,U,2,104530,1750,106286,106492,106493,486,<up>,<up>,1,1
100-4-3,T,15,1,L,1,106999,1500,108505,108712,108712,503,<left>,<left>,1,1
100-4-3,T,16,1,D,1,109234,1500,110739,110946,110947,609,<down>,<down>,1,1
100-4-3,T,17,1,L,1,111569,3250,114825,115031,115032,484,<left>,<left>,1,1
100-4-3,T,18,-1,D,2,115542,2750,118297,118503,118503,675,<down>,<down>,1,1
100-4-3,T,19,-1,D,2,119192,2500,121698,121905,121905,641,<down>,<down>,1,1
100-4-3,T,20,1,U,2,122557,1500,124063,124269,124270,517,<up>,<up>,1,1
100-4-3,T,21,-1,R,1,124801,2750,127556,127763,127763,534,<right>,<right>,1,1
100-4-3,T,22,-1,R,2,128316,2000,130323,130530,130531,579,<right>,<right>,1,1
100-4-3,T,23,-1,D,2,131130,2250,133385,133592,133592,600,<down>,<down>,1,1
100-4-3,T,24,-1,D,2,134209,1500,135715,135922,135922,599,<down>,<down>,1,1
100-4-3,T,25,-1,R,1,136535,2750,139291,139497,139498,564,<right>,<right>,1,1
100-4-3,T,26,1,L,1,140078,3500,143583,143789,143790,628,<left>,<left>,1,1
100-4-3,T,27,1,R,2,144433,2750,147189,147395,147396,582,<right>,<right>,1,1
100-4-3,T,28,-1,R,2,147994,1500,149500,149706,149707,546,<right>,<right>,1,1
100-4-3,T,29,-1,D,1,150284,2250,152539,152745,152746,558,<down>,<down>,1,1
100-4-3,T,30,-1,R,1,153318,2500,155825,156031,156031,490,<right>,<right>,1,1
100-4-3,T,31,1,U,1,156542,2250,158798,159004,159004,529,<up>,<up>,1,1
