pcode,filecode,timestamp,gender,age,Handedness,NT,condition,yokinggroup,session,testprac,heightcm,weightkg,Nationality,Language,Other
100,100-1-1,5/29/2018,,U,Right,1,practice,,1,P,5'4'' (162.56 cm),171.2 lbs (77.75 kg),US,English,
100,100-1-2,5/29/2018,,U,,1,practice,,1,P,,,,,
101,101-1-1,5/29/2018,,U,Right,1,practice,,1,P,"5'10""",172.2 lbs,,,
101,101-1-2,5/29/2018,,U,,1,practice,,1,P,,,,,
103,103-1-1,5/30/2018,,U,,1,practice,,1,P,"6'1""",235.8 lbs,,,
103,103-1-2,5/30/2018,,U,,1,practice,,1,P,,,,,
200,200-1-1,5/30/2018,,U,Right,1,practice,,1,P,"5'10""",172.6 lbs,,,
200,200-1-2,5/30/2018,,U,,1,practice,,1,P,,,,,
102,102-1-1,6/8/2018,,U,Right,1,practice,,1,P,"5'6""",140.4 lbs,,,
102,102-1-2,6/8/2018,,U,,1,practice,,1,P,,,,,
200,200-2-1,6/7/2018,,U,Right,1,cool,,2,T,"5'10""",172.6 lbs,,,
200,200-2-2,6/7/2018,,U,,1,cool,,2,T,,,,,
200,200-2-3,6/7/2018,,U,,1,cool,,2,T,,,,,
200,200-2-4,6/7/2018,,U,,1,cool,,2,T,,,,,
102,102-1-3,11-Jun,,U,Right,1,practice,,1,P,"5'6""",140.4 lbs,,,
101,101-1-3,11-Jun,,U,Right,1,practice,,1,P,"5'10""",172.2 lbs,,,
103,103-1-3,11-Jun,,U,,1,practice,,1,P,"6'1""",235.8 lbs,,,
101,101-2-1,11-Jun,,U,Right ,1,cool,,2,T,5'10'',172.2 lbs,,,
101,101-2-2,11-Jun,,U,,1,cool,,2,T,,,,,
101,101-2-3,11-Jun,,U,,1,cool,,2,T,,,,,
101,101-2-4,11-Jun,,U,,1,cool,,2,T,,,,,
103,103-2-1,11-Jun,,U,left ,1,cool,,2,T,6'1,235.8,,,
103,103-2-2,11-Jun,,U,,1,cool,,2,T,,,,,
103,103-2-3,11-Jun,,U,,1,cool,,2,T,,,,,
103,103-2-4,11-Jun,,U,,1,cool,,2,T,,,,,
101,101-3-1,12-Jun,,U,Right,1,normal,,3,T,5'10,172.2 lbs,,,
101,101-3-2,12-Jun,,U,,1,normal,,3,T,,,,,
101,101-3-3,12-Jun,,U,,1,normal,,3,T,,,,,
101,101-3-4,12-Jun,,U,,1,normal,,3,T,,,,,
103,103-3-1,12-Jun,,U,left,1,normal,,3,T,6'1,235.8 lbs,,,
103,103-3-2,12-Jun,,U,,1,normal,,3,T,,,,,
103,103-3-3,12-Jun,,U,,1,normal,,3,T,,,,,
103,103-3-4,12-Jun,,U,,1,normal,,3,T,,,,,
104,104-1-1,12-Jun,,U,right,1,practice,,1,P,5'6,113.6,,,
104,104-1-2,12-Jun,,U,,1,practice,,1,P,,,,,
104,104-1-3,12-Jun,,U,,1,practice,,1,P,,,,,
201,201-1-1,12-Jun,,U,right,1,practice,,1,P,5'3,107.6,,,
201,201-1-2,12-Jun,,U,,1,practice,,1,P,,,,,
201,201-1-3,12-Jun,,U,,1,practice,,1,P,,,,,
105,105-1-1,13-Jun,,U,right,1,practice,,1,P,5'2,138.8,,,
105,105-1-2,13-Jun,,U,,1,practice,,1,P,,,,,
105,105-1-3,13-Jun,,U,,1,practice,,1,P,,,,,
101,101-4-1,13-Jun,,U,,1,warm,,4,T,,,,,
101,101-4-2,13-Jun,,U,,1,warm,,4,T,,,,,
101,101-4-3,13-Jun,,U,,1,warm,,4,T,,,,,
101,101-4-4,13-Jun,,U,,1,warm,,4,T,,,,,
103,103-4-1,13-Jun,,U,,1,warm,,4,T,,,,,
103,103-4-2,13-Jun,,U,,1,warm,,4,T,,,,,
103,103-4-3,13-Jun,,U,,1,warm,,4,T,,,,,
103,103-4-4,13-Jun,,U,,1,warm,,4,T,,,,,
104,104-2-1,13-Jun,,U,,1,warm,,2,T,,,,,
104,104-2-2,13-Jun,,U,,1,warm,,2,T,,,,,
104,104-2-3,13-Jun,,U,,1,warm,,2,T,,,,,
104,104-2-4,13-Jun,,U,,1,warm,,2,T,,,,,
201,201-2-1,13-Jun,,U,,1,warm,,2,T,,,,,
201,201-2-2,13-Jun,,U,,1,warm,,2,T,,,,,
201,201-2-3,13-Jun,,U,,1,warm,,2,T,,,,,
201,201-2-4,13-Jun,,U,,1,warm,,2,T,,,,,
105,105-2-1,14-Jun,,U,,1,cool,,2,T,,,,,
105,105-2-2,14-Jun,,U,,1,cool,,2,T,,,,,
105,105-2-3,14-Jun,,U,,1,cool,,2,T,,,,,
105,105-2-4,14-Jun,,U,,1,cool,,2,T,,,,,
201,201-3-1,14-Jun,,U,,1,cool,,3,T,,,,,
201,201-3-2,14-Jun,,U,,1,cool,,3,T,,,,,
201,201-3-3,14-Jun,,U,,1,cool,,3,T,,,,,
201,201-3-4,14-Jun,,U,,1,cool,,3,T,,,,,
104,104-3-1,14-Jun,,U,,1,cool,,3,T,,,,,
104,104-3-2,14-Jun,,U,,1,cool,,3,T,,,,,
104,104-3-3,14-Jun,,U,,1,cool,,3,T,,,,,
104,104-3-4,14-Jun,,U,,1,cool,,3,T,,,,,
104,104-4-1,15-Jun,,U,,1,normal,,4,T,,,,,
104,104-4-2,15-Jun,,U,,1,normal,,4,T,,,,,
104,104-4-3,15-Jun,,U,,1,normal,,4,T,,,,,
